Marca,Modelo,Autonomia_WLTP(km),Autonomia_estimada(km)
Tesla, Model 3,448-602,400-500
Hyundai, Kona Eléctrico,305-484,250-400
Renault, ZOE,395,300-350
Volkswagen, ID.3,330-550,280-450
Nissan, Leaf,270-385,230-320
Peugeot, e-208,362,280-320
Kia, e-Niro,455,370-400
